date,open,high,low,close,volume
2025-01-02,178200,179700,176700,178200,5257188
2025-01-03,178200,183600,176300,181700,4566945
2025-01-06,181700,186900,179700,184900,2400330
2025-01-07,184900,185400,183200,183700,2690783
2025-01-08,183700,184100,182600,183000,5514375
2025-01-09,183000,186100,178700,181800,2221885
2025-01-10,181800,184300,180900,183400,4703545
2025-01-13,183400,185800,180900,183300,4421210
2025-01-14,183300,186600,182200,185400,4297131
2025-01-15,185400,185400,180700,180700,3796259
2025-01-16,180700,185800,179600,184700,4387259
2025-01-17,184700,185200,184100,184600,3907015
2025-01-20,184600,186800,184300,186500,2715083
2025-01-21,186500,187300,185400,186200,5206449
2025-01-22,186200,186500,185100,185400,2560302
2025-01-23,185400,188800,183300,186700,4530265
2025-01-24,186700,192200,183400,188900,4062512
2025-01-27,188900,189600,187800,188500,2552355
2025-01-28,188500,190600,186100,188200,6569511
2025-01-29,188200,191400,186900,190100,3352912
2025-01-30,190100,191100,187000,187900,3169654
2025-01-31,187900,188300,183700,184100,3650162
2025-02-03,184100,185500,183800,185200,5094818
2025-02-04,185200,185200,183600,183600,4918910
2025-02-05,183600,184200,178100,178700,4327798
2025-02-06,178700,181900,173600,176800,2550051
2025-02-07,176800,178000,174600,175800,3409850
2025-02-10,175800,176700,172100,172900,4542344
2025-02-11,172900,174800,167500,169400,4811859
2025-02-12,169400,171000,168000,169600,3888328
2025-02-13,169600,172800,168600,171800,3268441
2025-02-14,171800,172500,170700,171400,2870170
2025-02-17,171400,172200,168900,169700,3907430
2025-02-18,169700,171100,169300,170700,3661109
2025-02-19,170700,175300,167900,172500,3927717
2025-02-20,172500,172800,171600,171900,5084475
2025-02-21,171900,174100,171100,173300,3356439
2025-02-24,173300,177100,172200,176000,6010597
2025-02-25,176000,177100,174500,175600,5831439
2025-02-26,175600,178700,170600,173700,3181916
2025-02-27,173700,175200,173100,174600,4458167
2025-02-28,174600,176100,173800,175300,4541902
2025-03-03,175300,178400,175000,178100,4174129
2025-03-04,178100,180300,172800,175000,3834598
2025-03-05,175000,176100,172400,173500,4126087
2025-03-06,173500,174200,170900,171600,4618520
2025-03-07,171600,172800,166300,167500,4308692
2025-03-10,167500,168300,167100,167900,4092946
2025-03-11,167900,169900,167300,169300,3835498
2025-03-12,169300,170000,166900,167600,4387987
2025-03-13,167600,171000,167600,171000,4581291
2025-03-14,171000,174900,169100,173000,4887778
2025-03-17,173000,175800,171900,174700,3265717
2025-03-18,174700,176000,174400,175700,3436615
2025-03-19,175700,178600,175300,178200,3425835
2025-03-20,178200,179800,173400,175000,3154197
2025-03-21,175000,178500,173100,176600,4044258
2025-03-24,176600,179900,174900,178200,4008377
2025-03-25,178200,180500,171600,173900,5789566
2025-03-26,173900,177000,171700,174800,4478752
2025-03-27,174800,175600,173500,174300,2549992
2025-03-28,174300,176700,173900,176300,4997172
2025-03-31,176300,177000,174700,175400,4261016
2025-04-01,175400,176800,174000,175400,4160904
2025-04-02,175400,176900,174900,176400,3873288
2025-04-03,176400,177300,173400,174300,3058615
2025-04-04,174300,177100,173100,175900,3494698
2025-04-07,175900,177500,174100,175700,4365248
2025-04-08,175700,179500,173200,177000,4961678
2025-04-09,177000,177800,175100,175900,4698059
2025-04-10,175900,179300,175200,178600,3875980
2025-04-11,178600,180400,178500,180300,1682781
2025-04-14,180300,180600,179600,179900,2970390
2025-04-15,179900,182700,178800,181600,2525609
2025-04-16,181600,187300,179300,184900,3056735
2025-04-17,184900,191000,183600,189700,5666041
2025-04-18,189700,189700,185600,185600,5091790
2025-04-21,185600,188400,185200,188000,2088027
2025-04-22,188000,189600,187800,189400,4445648
2025-04-23,189400,190100,188500,189200,4302224
